|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |     48|   0   |12345|    1|     48 |
|2   |     0|1110110000010000|  0  |     48|   0   |12345|    2|     48 |
|2+  |     0|0101101110100000|  0  |    255|   0   |12345|    2|     48 |
|3   |     0|0101101110100000|  0  |    255|   0   |23456|    3|     48 |
|3+  |     0|1110000111010000|  0  |     91|   0   |23456|    3|     91 |
|4   |     0|1110000111010000|  0  |     91|   0   |23456|    4|     91 |
|4+  |     0|0000001111101000|  0  |      0|   0   |23456|    4|     91 |
|5   |     0|0000001111101000|  0  |      0|   0   | 1000|    5|     91 |
|5+  |     0|1110001100001000|  0  |      0|   1   | 1000|    5|     91 |
|6   |     0|1110001100001000|  0  |      0|   1   | 1000|    6|     91 |
|6+  |     0|0000001111101001|  0  |      0|   0   | 1000|    6|     91 |
|7   |     0|0000001111101001|  0  |      0|   0   | 1001|    7|     91 |
|7+  |     0|1110001110011000|  0  |    255|   1   | 1001|    7|    255 |
|8   |     0|1110001110011000|  0  |    255|   1   | 1001|    8|    255 |
|8+  |     0|0000001111101000|  0  |      0|   0   | 1001|    8|    255 |
|9   |     0|0000001111101000|  0  |      0|   0   | 1000|    9|    255 |
|9+  |   111|1111010011010000|  0  |    145|   0   | 1000|    9|    145 |
|10  |   111|1111010011010000|  0  |    145|   0   | 1000|   10|    145 |
|10+ |   111|0000000000001110|  0  |      0|   0   | 1000|   10|    145 |
